SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_NS,Total_dwelings,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,P_Emp_FullT_Tot,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_Tot,P_Tot_Unemp_Tot,STATE_CODE_2016
212051320,1404,3029,1705,432,166,235,6973,11269,11141,22407,1004,1080,2372,5932,5428,2097,1360,1072,796,757,511,4303,3130,252,206,1567,2
212051321,328,2227,3068,963,362,130,7084,10370,10716,21085,899,2696,1593,1461,2132,2661,2896,2369,2284,1494,593,5361,3193,211,174,734,2
212051322,369,2178,2606,756,346,151,6406,9412,9829,19241,839,2308,1486,1558,2433,2545,2734,2083,1483,1277,497,5029,2979,205,162,713,2
212051323,210,1831,2241,707,291,124,5401,7461,7817,15277,637,1889,1090,1138,1679,1823,2302,1769,1314,1208,434,4142,2466,183,106,513,2
212051324,301,2192,2584,772,338,173,6361,8951,9384,18334,968,2203,1130,1301,2333,2433,2579,1893,1576,1312,595,5052,2867,253,131,569,2
212051325,249,1853,2891,892,446,171,6504,9619,9747,19368,1198,2140,1012,1259,2863,2762,2415,2111,1961,1149,490,5550,2818,255,189,592,2
212051326,702,2788,2739,724,315,230,7502,10528,10764,21290,1240,2237,1162,1905,3649,3129,2790,2005,1412,1128,627,6174,3440,295,163,777,2
212051327,260,1747,2992,1013,553,168,6727,9555,10198,19753,846,2245,1237,1185,1818,2246,2732,2592,2588,1538,728,5277,3168,203,134,544,2
213011328,410,1193,749,211,109,195,2867,4121,3710,7836,562,721,355,605,1822,1157,799,716,568,348,184,1934,1101,85,96,486,2
213011329,58,483,1127,550,286,57,2564,4783,4879,9657,678,1516,767,762,1278,1612,1389,1034,455,118,44,2708,1434,116,116,395,2
213011330,325,2410,3336,1032,440,328,7868,13054,13203,26253,2588,3665,1501,1664,4845,4334,2854,2330,1629,661,179,6873,3300,341,373,1144,2
213011331,148,766,1008,419,214,80,2639,4043,4297,8339,465,989,607,749,1214,987,1308,1097,589,223,105,2222,1154,87,126,452,2
213011332,172,1213,1702,693,428,136,4354,6551,6635,13189,743,1444,786,1001,1826,1592,1707,1989,1311,604,171,3577,1951,169,152,540,2
213011333,265,1442,1611,569,269,213,4371,6889,6947,13831,898,1715,864,981,1992,1822,1701,1878,1421,459,103,2941,1690,142,170,714,2
213011334,745,2503,1980,706,328,385,6652,10090,10000,20092,1350,2100,1162,1692,3690,2447,2275,2169,1775,1096,334,4026,2473,187,269,1090,2
213011335,551,1865,1655,630,293,305,5299,8724,8502,17224,1067,1819,1091,1572,2870,2090,2095,1955,1483,887,287,3367,2330,152,240,961,2
213011336,403,1325,945,281,115,158,3234,5097,4670,9768,724,934,461,800,2140,1463,1094,977,557,373,241,2393,1480,125,119,529,2
213011337,344,1230,1165,495,215,187,3640,5823,5876,11700,794,1279,774,972,1895,1504,1442,1272,841,609,322,2633,1520,86,166,625,2
213011338,498,2137,2040,742,324,312,6052,9277,9308,18585,1202,2073,1068,1444,3114,2461,2214,1854,1771,1079,309,4260,2282,180,244,997,2
213011339,154,1195,1432,507,273,103,3659,5922,6086,12009,755,1583,866,932,1925,1820,1729,1159,639,345,259,3503,1809,167,124,538,2
213011340,128,1008,2138,1169,784,141,5379,8671,8667,17340,688,2058,1403,1499,1876,1950,3116,2668,1386,520,174,5599,3037,241,204,572,2
213021341,457,2105,1736,424,248,167,5129,6109,6583,12689,779,1316,537,591,1664,1975,1800,1547,1272,831,373,3892,1847,193,94,365,2
213021342,373,2528,2557,777,436,205,6874,9361,9800,19160,1180,2024,1031,1265,3104,2567,2757,2485,1619,799,322,5705,2745,293,161,766,2
213021343,510,1936,1738,478,203,213,5079,6906,7103,14002,1063,1455,710,797,2355,2024,1510,1221,1122,1227,532,3713,1578,193,121,469,2
