SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_NS,Total_dwelings,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,P_Emp_FullT_Tot,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_Tot,P_Tot_Unemp_Tot,STATE_CODE_2016
201011001,74,1118,1803,521,271,103,3886,5704,5954,11654,842,1879,913,720,1491,1598,1611,1218,865,402,121,3382,2070,221,76,311,2
201011002,360,1905,1667,421,160,145,4654,5695,6353,12046,607,1367,888,790,1381,1383,1666,1551,1250,784,389,3123,2086,217,69,383,2
201011003,597,3301,3293,980,487,326,8992,10965,12118,23083,1480,2768,1367,1557,3008,2816,3068,2890,2246,1289,601,6088,3877,398,166,741,2
201011004,863,3984,3213,932,425,449,9868,11498,12736,24231,1633,2736,1383,2355,3613,2882,2773,2744,2262,1268,574,5539,3851,404,202,989,2
201011005,58,503,1038,371,237,72,2281,3613,3540,7153,432,1060,526,648,606,922,935,986,684,285,79,1776,1271,159,84,212,2
201011006,86,700,1008,372,220,89,2472,3424,3660,7082,476,958,532,516,965,867,890,775,644,311,146,1922,1179,120,59,225,2
201011007,10,173,491,300,236,37,1246,2021,1909,3932,214,654,312,201,308,543,658,571,337,109,26,1163,665,84,33,85,2
201011008,516,2160,1922,543,259,271,5667,7039,7590,14633,1055,1803,905,913,1932,1693,1682,1626,1525,1033,466,3151,2024,219,110,514,2
201021009,46,527,748,371,292,86,2079,2946,2927,5870,331,766,382,248,543,779,963,850,670,244,86,1624,907,108,65,167,2
201021010,98,815,1054,452,347,177,2933,3843,3974,7821,389,946,396,331,660,874,1074,1326,1059,528,237,1719,1190,169,92,199,2
201021011,140,1186,1344,477,290,181,3612,4299,4657,8956,367,972,359,271,584,1028,1426,1735,1397,560,261,1915,1702,190,84,181,2
201021012,17,359,766,430,324,79,1964,2861,2795,5656,288,818,366,251,417,712,1015,867,642,221,63,1536,933,123,74,135,2
201031013,46,404,502,197,149,70,1365,1658,1642,3302,134,362,143,117,202,344,439,657,583,242,74,695,426,65,27,93,2
201031014,48,403,589,242,210,70,1561,2411,1984,4395,225,485,201,145,382,495,660,769,675,244,117,889,608,96,37,97,2
201031015,25,351,652,319,219,70,1632,2290,2197,4483,250,630,297,190,414,572,676,700,533,172,54,1073,718,86,47,148,2
201031016,296,1377,1060,307,151,188,3374,3786,4129,7921,381,862,419,412,654,754,954,1089,1215,824,354,1361,1061,101,66,223,2
201031017,76,594,797,341,250,109,2164,2741,2528,5268,210,581,276,216,361,486,804,982,873,372,108,1006,720,75,43,204,2
202011018,593,2492,1797,499,228,285,5885,7025,7433,14460,810,1535,827,1164,2097,1696,1801,1809,1364,859,503,3461,2240,243,105,557,2
202011019,339,1624,1594,539,252,232,4577,5785,6180,11965,842,1541,755,871,1580,1376,1402,1475,1189,675,251,2613,1744,207,105,462,2
202011020,316,2082,1946,563,254,185,5340,6419,7090,13507,666,1457,909,1058,1444,1342,1702,1745,1532,1052,613,3252,2355,258,80,424,2
202011021,257,1421,1275,378,161,131,3630,4362,4932,9295,485,1161,688,1143,1202,1097,1047,1048,726,418,284,2304,1780,187,69,360,2
202011022,501,2868,2839,859,371,323,7758,9336,10351,19687,1252,2192,1036,1331,2777,2243,2236,2384,2150,1422,668,4846,2913,297,137,600,2
202011023,12,176,768,320,213,40,1528,2565,2524,5084,430,888,401,226,559,785,738,573,362,96,25,1474,910,130,21,109,2
202011024,22,567,1349,482,255,54,2729,4293,4334,8630,632,1548,674,382,798,1277,1212,1045,699,298,71,2359,1589,193,77,168,2
202011025,128,1141,1781,613,303,157,4118,5682,6067,11747,1053,1643,734,804,1965,1429,1415,1327,866,416,110,3302,1927,299,120,275,2
202021026,11,329,1032,530,390,72,2356,3610,3569,7184,467,1117,525,287,692,907,1172,1045,704,213,55,2007,1274,177,69,158,2
202021027,301,1720,1298,393,213,184,4115,5280,5296,10583,505,1089,501,436,1048,1289,1527,1595,1369,838,388,2027,1797,158,64,228,2
202021028,59,949,1325,545,374,126,3373,4257,4212,8474,338,917,449,303,505,893,1354,1702,1319,515,182,1901,1514,166,66,207,2
202021029,71,526,693,250,163,123,1826,2258,2250,4513,188,471,219,144,303,443,645,838,748,402,107,895,572,75,42,125,2
202021030,156,1091,1325,505,303,148,3532,4682,4968,9648,575,1118,540,414,848,1250,1409,1369,1234,604,285,2347,1700,154,86,188,2
202021031,76,627,1032,373,205,60,2377,3313,3590,6899,414,1019,426,288,471,989,1112,983,786,289,120,1792,1190,142,41,159,2
202031032,29,328,597,325,242,69,1593,2225,2137,4363,256,583,293,167,334,511,717,740,509,203,68,1145,698,77,48,96,2
202031033,127,786,921,421,369,157,2775,3603,3457,7057,322,803,388,218,483,684,989,1282,1064,581,247,1561,866,126,90,146,2
203011034,18,315,923,394,259,60,1956,3228,3189,6420,525,1138,432,319,742,1010,846,643,460,201,100,1806,1032,135,61,118,2
203011035,24,405,976,473,389,80,2339,3476,3377,6855,441,1064,451,262,659,959,1105,993,669,213,42,1939,1141,133,87,158,2
203011036,42,384,769,400,308,90,1994,2907,2839,5745,302,790,355,284,469,721,882,921,632,273,116,1544,1089,124,54,96,2
203021037,467,2361,2008,492,208,200,5733,6714,7310,14021,859,1480,760,1028,2181,1714,1632,1518,1335,892,622,3663,2463,245,113,418,2
203021038,1181,3847,2788,951,410,595,9767,12860,13484,26348,1621,3464,2217,2033,3340,3034,3411,3184,2341,1282,418,4992,3221,346,270,1318,2
203021039,503,2229,1701,418,183,186,5226,6092,6598,12694,692,1071,628,1093,2047,1540,1714,1768,1160,652,318,3670,2275,235,124,379,2
203021040,726,3131,2795,707,317,293,7966,9240,10226,19468,1279,2094,972,1448,3146,2650,2605,2234,1518,1000,512,5721,3422,407,158,592,2
203021041,375,2671,3469,990,552,260,8315,11152,12122,23275,1558,2763,1377,1909,3271,3038,2659,2382,2124,1288,910,6271,4111,433,162,649,2
203021042,232,2146,3425,1021,519,176,7515,10831,11268,22098,1308,2858,1784,1897,2332,2756,2905,2657,2009,1152,445,5756,4263,441,152,651,2
203021043,159,1502,2468,939,575,177,5814,9377,8718,18088,1198,2383,1160,1125,2499,2743,2569,2038,1448,651,272,5105,2741,335,152,416,2
203021044,109,1458,1979,621,311,114,4588,6195,6623,12814,942,1582,834,671,1763,1572,1587,1459,1385,744,286,3407,2186,254,90,347,2
203021045,523,2344,1850,601,322,264,5900,6948,7651,14593,740,1516,809,1046,1667,1595,2027,1935,1642,1080,540,3338,2261,226,131,474,2
203021046,213,1374,1569,380,165,107,3805,4879,5275,10155,587,1351,749,554,1144,1318,1445,1335,903,489,271,2830,1845,167,69,254,2
203021047,467,2085,2006,559,298,232,5652,7042,7587,14631,855,1510,765,881,1994,1766,1749,1727,1657,1109,609,3611,2197,216,121,494,2
203031048,161,1612,2062,656,343,179,5023,6384,6961,13349,714,1675,804,638,1260,1506,1724,1935,1701,1028,358,3131,2227,208,111,355,2
203031049,66,697,733,232,85,73,1889,2516,2538,5051,201,540,231,168,415,511,703,917,804,379,188,1157,977,103,43,74,2
203031050,167,2375,3864,1058,507,215,8174,11406,12015,23421,1670,3431,1257,1028,2523,3304,2948,3167,2521,1068,509,6097,4284,445,162,468,2
203031051,122,1220,1179,319,132,136,3116,3611,3794,7397,276,625,295,232,409,617,900,1390,1618,728,314,1223,987,122,43,216,2
203031052,60,651,640,155,74,56,1638,1924,2222,4148,130,398,185,103,205,333,464,682,870,532,237,755,649,70,24,59,2
203031053,123,1643,3039,836,411,147,6204,9036,9328,18362,1350,2825,1046,737,2028,2860,2584,2218,1732,725,264,5032,3345,365,131,386,2
204011054,112,770,895,355,228,187,2549,3178,3162,6337,254,580,261,222,506,644,833,1139,1167,516,219,1465,1003,123,56,137,2
204011055,105,868,906,364,234,125,2599,3074,3197,6278,255,638,290,197,469,549,827,1137,1061,593,261,1443,983,113,77,130,2
204011056,150,1456,1761,734,538,200,4845,6827,7049,13871,862,1936,1061,808,1520,1651,2012,1671,1386,719,241,3670,1993,249,140,372,2
204011057,109,976,1213,475,281,178,3233,4418,4427,8848,434,1133,511,331,736,985,1179,1446,1326,548,207,2177,1482,158,88,138,2
204011058,50,493,609,217,124,80,1578,1996,2008,4004,197,424,198,157,367,428,524,711,592,300,119,1041,600,83,39,82,2
204011059,239,930,731,246,131,158,2441,3119,3212,6327,316,656,401,451,644,666,841,978,735,435,205,1388,904,97,71,189,2
204011060,9,273,561,265,218,44,1360,2429,2003,4432,340,542,320,276,572,550,635,598,420,150,46,1410,591,105,47,93,2
204011061,4,26,27,7,9,3,84,91,95,182,13,12,6,9,18,17,42,29,20,11,3,40,27,3,0,3,2
204011062,32,428,521,226,147,69,1419,1818,1742,3560,149,436,172,106,235,379,471,666,622,242,82,819,525,76,44,83,2
204021063,320,1672,1464,438,220,202,4325,4909,5419,10330,500,1092,582,524,935,971,1314,1522,1468,930,485,2281,1442,197,70,254,2
204021064,11,238,516,287,203,36,1291,1838,1756,3595,179,406,197,126,279,348,557,760,531,169,43,981,586,83,50,63,2
204021065,61,475,575,224,135,58,1521,1901,1964,3869,178,484,239,156,315,462,566,597,540,230,102,1080,563,80,35,89,2
204021066,533,2892,2651,714,323,382,7495,8791,9922,18710,1045,2314,1094,959,1977,2132,2366,2415,2110,1446,856,4430,2927,335,166,447,2
204021067,37,661,1466,663,532,130,3482,4857,4737,9600,485,1254,548,343,671,1163,1496,1674,1304,509,150,2728,1720,220,83,172,2
204031068,68,530,643,239,117,68,1664,2261,2310,4569,201,539,212,132,363,564,684,797,646,314,119,1047,805,106,37,75,2
204031069,137,1086,1099,366,214,145,3046,4033,4119,8154,349,958,406,320,719,981,1153,1357,1183,525,203,2028,1404,177,70,118,2
204031070,30,264,459,211,148,38,1152,1536,1566,3100,171,401,186,134,268,361,522,535,333,144,41,875,526,87,40,88,2
204031071,81,590,655,258,164,104,1847,2276,2358,4634,200,518,282,167,347,454,705,812,563,401,179,1150,729,100,62,106,2
204031072,66,655,854,368,260,114,2317,3061,2892,5956,280,676,330,210,451,567,872,1033,910,433,197,1542,893,141,81,133,2
204031073,220,1761,2264,693,318,159,5419,7250,7703,14955,1074,2133,1002,926,1936,1877,1988,1873,1273,596,275,4214,2369,248,120,420,2
204031074,543,3009,3494,1020,459,321,8846,12045,12352,24398,1750,3150,1675,1776,3481,2973,3054,2820,2117,1123,471,6995,3601,456,183,744,2
204031075,22,318,650,309,232,52,1582,2199,2290,4487,234,654,300,173,311,555,708,721,530,210,90,1308,788,97,49,87,2
205011076,190,1815,2294,814,490,201,5807,7849,8360,16207,1135,2154,937,879,2029,1800,2022,2041,1810,1016,382,4056,2319,265,134,434,2
205011077,34,486,792,465,309,83,2172,3061,2959,6019,278,764,394,252,420,664,915,1093,823,319,91,1585,970,128,65,155,2
205011078,70,777,1133,430,281,99,2797,3752,3895,7641,468,1000,425,379,812,904,985,1184,886,417,178,1911,1277,167,81,180,2
205011079,346,2146,2592,911,602,275,6872,8965,9797,18758,1068,2441,1264,1019,2022,2075,2580,2423,2225,1186,453,4832,3015,348,158,479,2
205021080,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2
205021081,345,2029,1964,623,298,329,5587,6905,7819,14728,903,1717,838,822,1628,1518,1767,1908,1851,1212,563,3114,2200,285,120,368,2
205021082,54,674,1166,512,351,138,2894,3974,3767,7743,393,940,439,296,657,803,1152,1320,1159,477,98,1860,1365,180,74,186,2
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
205021084,180,1397,1475,432,205,224,3908,4867,5047,9916,435,1007,473,333,717,915,1229,1676,1951,885,307,1727,1421,216,86,266,2
205021085,166,915,961,331,146,131,2648,3282,3164,6448,267,733,305,194,440,555,917,1208,1130,527,180,1130,972,130,72,226,2
205021086,76,908,1018,316,133,125,2577,3141,3171,6313,231,528,252,188,379,495,727,1115,1442,711,244,1098,812,127,49,117,2
205031087,120,1104,1318,504,281,142,3463,4352,4376,8731,455,836,428,307,652,809,1202,1579,1509,704,254,1838,1405,176,86,186,2
205031088,13,22,15,0,3,6,55,61,54,119,0,17,0,0,7,10,13,30,26,5,0,22,27,0,0,0,2
205031089,114,990,1243,524,363,110,3338,4462,4659,9122,487,1230,531,364,849,1035,1296,1442,1126,498,253,2247,1457,188,115,226,2
205031090,155,1266,1538,604,356,142,4066,5369,5707,11079,655,1497,662,487,1056,1179,1487,1561,1421,749,309,2643,1839,201,100,221,2
205031091,193,1648,1543,364,166,179,4099,5008,5376,10387,520,1197,463,319,887,1112,1332,1686,1713,781,374,1958,1748,265,81,254,2
205031092,0,0,0,0,0,0,6,8,3,13,0,3,0,0,0,3,0,0,0,0,0,7,5,0,0,0,2
205031093,520,3412,3248,969,409,461,9013,10786,11439,22228,1133,2450,1109,803,1972,2211,2884,3456,3569,1878,763,4274,3485,453,184,597,2
205041094,118,1068,1561,693,463,173,4070,5648,5751,11401,637,1394,759,765,1245,1295,1621,1843,1275,443,117,2666,1872,241,82,455,2
205041095,685,2591,2082,693,366,359,6781,8022,8527,16551,894,1835,990,1104,1882,1754,2145,2350,1906,1141,537,3338,2341,255,152,812,2
205041096,656,2339,1638,458,207,314,5613,6801,7011,13808,834,1524,772,918,1677,1429,1784,1877,1542,1002,448,2463,1701,184,119,753,2
205041097,566,3489,3916,1146,549,386,10058,12910,13876,26785,1720,3504,1573,1705,3714,3281,3445,3284,2469,1476,617,7141,4051,519,195,950,2
205041098,35,371,637,318,207,65,1632,2325,2222,4550,282,615,298,276,517,556,693,715,394,154,42,1195,750,104,40,181,2
205051099,0,4,0,3,3,0,7,16,6,25,0,0,3,0,0,0,7,8,3,0,0,14,6,0,0,0,2
205051100,47,528,563,262,150,67,1621,2250,2048,4299,177,502,234,139,343,434,654,795,719,245,58,967,580,72,48,117,2
205051101,181,1490,1859,848,581,210,5174,6829,7038,13868,834,1796,853,698,1466,1547,1760,2140,1637,834,302,3475,2115,336,140,347,2
205051102,34,287,557,272,212,65,1426,2796,1926,4723,241,521,224,289,761,746,650,657,432,160,47,1185,537,89,35,129,2
205051103,442,2126,2070,539,221,223,5624,7041,7602,14646,964,1841,901,808,1845,1743,1906,1860,1439,885,448,3593,2183,263,115,445,2
205051104,95,689,778,308,214,93,2174,2692,2615,5305,230,521,298,201,433,462,749,1011,831,403,175,1170,821,95,63,151,2
206011105,2272,5114,2215,434,157,356,10560,12405,13030,25440,1138,1528,776,2838,7684,4337,2584,1947,1258,959,384,9523,4907,456,227,952,2
206011106,868,2504,1006,186,70,134,4776,5180,5783,10962,469,724,346,1098,3556,1924,1102,722,511,391,133,4404,1997,176,81,400,2
206011107,978,2757,1415,296,114,183,5745,6591,7143,13737,756,1114,514,1236,3454,2200,1588,1218,793,574,289,4578,2462,238,110,517,2
206011108,1241,4261,2759,768,315,269,9610,12667,13494,26166,1651,2580,1103,2053,5205,4269,3377,2487,1620,1258,574,7983,4603,397,266,1004,2
206011109,259,1162,1326,352,192,79,3371,4881,5083,9960,648,1324,602,605,1215,1560,1583,1019,616,474,299,2942,1704,130,73,297,2
206021110,399,1500,1125,226,106,104,3450,4284,4653,8934,478,979,482,686,1620,1330,1358,975,532,362,141,3020,1702,138,65,273,2
206021111,1298,4496,2685,539,178,249,9446,11570,13097,24667,1378,2638,1027,1561,5081,4161,3537,2250,1431,1096,505,8479,4514,372,207,675,2
206021112,1086,3355,2101,413,190,243,7385,8738,9728,18466,1126,1847,651,1259,3797,3393,2426,1577,999,940,441,5944,3391,330,144,572,2
206031113,739,2373,1821,406,147,211,5702,7178,7570,14750,1062,1594,658,1020,2913,2369,2028,1542,873,478,210,4853,2417,237,103,515,2
206031114,886,4130,3471,1021,511,294,10316,13164,14319,27487,1322,3126,1753,2005,4568,3733,3999,3256,1876,1119,730,9177,4794,472,237,756,2
206031115,1017,2009,707,106,44,206,4083,4851,5262,10115,617,943,496,1093,2617,1499,1040,854,507,310,143,2865,1535,135,98,521,2
206031116,709,2249,1696,451,191,192,5482,6875,7380,14250,797,1472,701,1057,2473,2143,1930,1566,1028,691,397,4871,2384,217,119,423,2
206041117,5026,2170,572,79,38,381,8273,8730,10266,19001,440,676,2635,5986,4804,1519,1027,816,590,344,169,3706,2475,188,130,1561,2
206041118,1755,2088,589,72,32,135,4673,5652,5316,10965,557,234,442,1570,4161,1542,1064,828,450,101,18,4289,1324,196,86,484,2
206041119,404,1107,485,94,25,54,2173,2355,2612,4962,152,145,88,343,1407,719,572,664,546,181,146,2133,736,110,44,120,2
206041120,4,16,4,0,0,0,22,43,45,85,8,3,3,13,23,24,9,3,3,0,0,29,10,0,0,3,2
206041121,774,2253,1112,179,42,133,4491,5216,5599,10812,741,817,350,835,3162,1934,1190,886,531,268,101,4345,1685,204,54,321,2
206041122,11725,3370,394,38,47,717,16284,18190,19134,37321,727,467,3477,11670,13563,3495,1701,1240,700,198,83,9212,5964,412,267,2805,2
206041123,3005,3481,1107,146,42,338,8118,10273,10360,20637,771,1188,1294,3904,6465,2752,1759,1210,778,394,123,6282,3167,324,173,1157,2
206041124,414,990,411,89,25,70,1997,3455,3950,7409,224,225,1184,1793,1694,556,420,393,343,250,324,1732,1404,164,205,493,2
206041125,519,1401,575,109,43,88,2730,2834,3265,6096,195,261,314,448,1616,796,626,626,641,343,234,2378,858,99,48,155,2
206041126,2842,4236,853,90,23,209,8251,9396,9274,18669,575,323,811,3198,7532,2706,1416,1132,707,213,56,7754,2533,271,148,906,2
206041127,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
206051128,897,3198,1791,293,94,205,6481,7539,7843,15384,775,1366,554,858,2849,2459,2198,1807,1541,700,273,5658,2083,240,103,420,2
206051129,748,3608,1986,260,107,204,6910,7149,8072,15222,833,1275,464,829,3878,3016,2228,1497,759,323,128,6503,2358,286,121,443,2
206051130,837,3487,2079,329,123,212,7072,7729,8431,16163,964,1238,456,652,3073,3092,2411,1979,1445,659,203,6430,2102,300,99,372,2
206051131,0,4,0,0,0,0,6,8,9,18,3,0,0,3,3,10,0,0,0,0,0,10,3,0,0,0,2
206051132,1172,2573,1074,140,50,174,5178,5619,5933,11550,581,715,341,774,2813,1982,1484,1179,942,492,242,4427,1458,177,52,385,2
206051133,2904,6372,2026,254,109,440,12110,13161,12960,26124,834,1092,593,2157,8596,4584,3289,2475,1469,626,412,11021,3685,430,228,943,2
206051134,1372,3764,1684,242,86,205,7354,8105,8318,16417,907,1208,489,1285,5040,2983,1876,1263,793,395,176,6782,2777,235,131,514,2
206061135,497,1798,1111,210,101,103,3815,4111,4867,8972,451,772,397,643,1857,1318,1087,879,837,497,235,3140,1477,135,72,235,2
206061136,1916,4537,1860,307,81,290,8983,9599,10123,19714,761,914,509,1733,6811,3153,1967,1536,1121,851,376,8895,2813,317,134,573,2
206061137,2848,4964,1609,221,91,290,10028,9843,10884,20728,662,753,700,2526,7565,2943,1921,1551,1159,712,239,9216,2801,303,167,741,2
206061138,515,2151,1804,506,294,227,5492,6005,7048,13050,401,1057,628,964,2065,1386,1591,1700,1762,986,508,4142,2142,170,97,291,2
206071139,747,1831,716,127,31,111,3556,4111,4081,8184,319,325,210,760,3183,1281,786,608,419,185,104,3739,1247,135,62,291,2
206071140,633,1680,834,158,49,106,3460,3973,4458,8428,385,540,290,923,2304,1150,906,786,703,300,138,3177,1647,159,58,244,2
206071141,1114,1787,531,85,22,189,3729,4221,4287,8513,431,550,267,731,2975,1457,903,630,325,183,68,3319,1173,151,67,353,2
206071142,1149,1957,693,109,29,196,4129,5126,5320,10445,546,649,298,874,3143,1723,1235,936,580,326,144,3704,1425,199,90,430,2
206071143,984,2481,1132,231,61,191,5085,5705,6633,12339,522,1067,399,838,3073,2041,1496,1278,919,520,176,4604,2146,203,83,354,2
206071144,2607,6502,2983,530,147,417,13179,14882,15619,30499,1311,1752,896,2459,10133,4944,3384,2552,1735,983,349,13819,4222,464,249,945,2
206071145,322,1658,1049,225,75,92,3415,4398,4644,9044,511,884,385,526,1889,1543,1251,1004,677,259,105,3267,1572,171,79,227,2
207011146,188,828,1117,285,112,63,2591,3822,3936,7751,519,1160,487,465,758,1119,1201,929,548,332,235,2175,1331,101,56,201,2
207011147,378,2077,2166,633,293,156,5700,7383,8448,15831,620,1907,1307,1142,1618,1696,2348,2017,1537,1008,636,4077,2676,207,122,459,2
207011148,272,1892,2933,921,421,149,6594,9837,10391,20224,810,2956,1838,1439,1695,2243,3370,2465,1644,1081,675,5299,3556,239,139,603,2
207011149,413,2652,2886,895,384,122,7353,9969,11430,21400,982,2819,1537,1613,2268,2485,3161,2477,1973,1244,840,6076,3651,288,135,578,2
207011150,211,1760,2582,682,300,90,5619,7967,8364,16326,867,2491,1171,1047,1635,2190,2652,1978,1345,675,284,4938,2996,238,98,428,2
207011151,1623,4294,2506,551,226,269,9470,11173,11803,22973,1007,2005,1403,2745,5740,3130,2480,1860,1506,746,354,8091,3932,389,199,895,2
207011152,693,2580,1978,409,181,223,6059,7248,7918,15166,803,1571,792,1411,3257,2187,1712,1442,1092,585,305,5175,2586,235,110,436,2
207011153,532,3290,3327,966,406,197,8715,11807,12924,24725,1073,2905,1705,1913,3415,2990,3581,2952,2200,1223,769,7484,4234,345,190,660,2
207011154,116,760,981,236,100,42,2240,3221,3285,6513,370,949,459,410,670,849,1055,712,562,316,155,1848,1190,78,42,164,2
207011155,267,1853,2317,642,333,102,5511,7722,8592,16319,692,2309,1217,1155,1481,1848,2539,2149,1543,815,572,4590,2837,229,88,412,2
207021156,209,1223,1687,482,289,110,3992,5406,5641,11045,562,1109,611,638,1244,1358,1622,1243,1144,1119,386,3004,1689,116,108,326,2
207021157,496,3006,2846,874,388,208,7817,9917,10665,20584,929,1827,1228,1465,3122,2428,2650,2324,2145,1845,613,5359,3158,232,193,731,2
207021159,142,1279,2432,877,580,144,5447,7990,8628,16618,697,1897,1048,1017,1715,1804,2384,2417,1952,1117,574,4523,2759,195,121,463,2
207021160,156,1370,2178,616,259,146,4736,6462,7139,13598,726,1541,730,686,1348,1773,1870,1453,1556,1305,593,3569,2054,160,102,373,2
207021424,101,1149,2156,770,410,157,4741,7164,7409,14573,656,1721,1060,978,1518,1730,2097,2060,1547,864,358,3940,2552,153,113,469,2
207021425,297,1973,2022,502,179,131,5103,6580,7378,13956,839,1543,822,754,1861,2001,1768,1397,1361,1125,475,3602,2033,174,115,487,2
207031161,430,2901,3052,737,313,175,7612,10409,10973,21382,1200,2760,1397,1341,2644,3022,3025,2274,1646,1295,769,6001,3666,305,133,675,2
207031162,279,1270,1553,402,182,116,3803,5149,5643,10793,621,1384,631,593,1207,1394,1470,1205,925,876,490,2766,1774,117,51,279,2
207031163,1262,3100,2122,496,211,260,7459,9566,10265,19828,947,1807,1335,2420,3955,2407,2380,1944,1191,911,540,5056,3394,269,144,870,2
207031164,436,2396,2455,587,272,149,6304,8438,9114,17552,1040,2100,1134,1238,2423,2402,2488,1996,1350,951,443,4827,3013,222,126,590,2
207031165,600,1676,1362,364,139,148,4290,5744,6502,12248,442,939,1143,2372,2138,1116,1212,932,781,683,480,2575,2089,137,98,763,2
207031166,260,1247,1432,410,184,92,3632,5057,5210,10273,490,973,573,971,1419,1259,1262,1092,1069,889,269,2594,1672,128,83,386,2
207031167,189,1299,1442,374,201,62,3561,4754,5211,9965,524,1219,698,733,1170,1279,1464,1329,850,416,289,3024,1882,146,48,254,2
208011168,136,1263,2201,664,330,134,4721,6431,7045,13472,552,1976,925,765,705,1542,2263,1978,1482,812,471,3754,2402,185,87,300,2
208011169,404,2927,3407,888,431,236,8290,10596,12095,22695,1042,2890,1453,1169,1944,2618,3573,3076,2582,1411,937,6301,3706,279,175,476,2
208011170,231,1724,2469,655,265,116,5455,7592,8241,15838,820,2416,1031,783,1118,2037,2602,1999,1444,899,697,4307,2705,192,115,408,2
208011171,272,1599,1628,374,124,94,4088,5173,5764,10938,808,1451,589,524,1262,1773,1685,1169,845,479,352,3378,1822,169,70,269,2
208011172,467,2252,2612,614,263,172,6376,8536,9100,17640,1001,2521,1217,908,1564,2430,3038,2189,1531,839,400,5071,3018,251,103,431,2
208011173,305,2202,2517,653,283,146,6100,7898,8616,16506,773,2174,966,769,1391,2021,2704,2222,1831,904,764,4756,2790,253,109,330,2
208021174,639,3018,3021,753,315,227,7979,10789,11628,22415,1297,3093,1608,1324,2429,3141,3562,2551,1573,1068,766,6454,3812,313,134,703,2
208021176,972,3497,2053,345,170,216,7255,8665,9395,18066,1101,1589,750,1787,4050,2664,2024,1680,1202,783,436,5726,2912,276,131,707,2
208021177,782,2963,2711,628,276,236,7590,10135,10844,20976,1326,2522,1161,1695,3802,2586,2198,2276,1718,911,773,6090,3638,236,189,587,2
208021178,437,2280,2592,592,282,155,6344,8403,9047,17448,1010,2053,909,1130,2227,2329,2392,2020,1751,935,702,5089,3109,228,138,422,2
208021179,465,1995,1504,280,109,118,4473,5374,5979,11354,692,1404,571,594,1994,1684,1546,1245,861,468,313,3853,1849,172,92,253,2
208021180,305,1089,969,242,69,90,2767,3624,3935,7556,474,839,418,621,1334,1138,999,718,485,368,168,2343,1290,111,59,280,2
208021181,357,1529,1184,305,144,86,3602,4584,4665,9251,540,1012,483,727,1618,1448,1263,1002,552,375,217,3020,1629,146,77,343,2
208021182,660,2468,1522,316,131,134,5237,6534,6809,13339,752,1496,638,1164,2913,1905,1740,1301,804,417,204,4366,2305,181,95,504,2
208021426,238,1725,2284,508,246,112,5108,7220,7560,14784,934,2260,929,792,1504,2373,2315,1539,1004,714,405,4368,2433,208,90,385,2
208021427,226,1544,2070,520,212,137,4716,6430,6803,13238,954,1733,726,654,1486,2025,1914,1478,1059,794,424,3903,2082,183,110,359,2
208031183,48,609,1293,516,265,48,2777,4439,4548,8989,510,1280,774,595,813,1294,1649,1020,588,357,101,2865,1582,137,81,216,2
208031184,3,4,3,0,0,0,13,30,30,58,0,18,7,7,3,3,10,6,3,3,0,11,7,0,0,0,2
208031185,257,1453,1804,521,276,165,4481,5544,6002,11548,647,1282,643,587,1281,1637,1756,1638,1200,610,269,3661,1842,218,91,287,2
208031186,531,2496,2092,413,149,204,5885,6674,7519,14191,994,1410,483,627,2103,2424,1819,1632,1351,849,507,4413,2067,266,123,364,2
208031187,76,588,842,255,109,46,1920,2605,2735,5335,362,681,339,305,611,790,741,651,535,261,57,1596,870,90,51,142,2
208031188,592,3478,3255,705,323,329,8682,10581,11690,22270,1409,2491,1116,1137,3044,3452,3018,2362,1901,1425,917,6841,3506,322,174,604,2
208031189,229,1554,2005,477,203,114,4575,6245,6501,12747,853,1704,679,633,1542,1978,1974,1442,1019,641,304,4005,2118,182,94,315,2
208031190,399,2260,1886,392,199,136,5266,6216,6750,12965,690,1412,676,742,1766,1905,1884,1482,1199,771,440,4185,2128,190,99,370,2
208031191,200,1034,1318,333,133,107,3125,4357,4445,8803,579,1132,440,555,1089,1433,1258,904,688,469,253,2617,1413,128,70,277,2
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
208031193,493,2757,3060,680,320,194,7504,9598,10321,19917,1161,2669,1130,1075,2268,3114,3112,2371,1538,941,549,6357,3344,336,138,497,2
